0.60174,0.596596,0.0784936,-0.00170881,-0.000410771,-0.127356,-0.540915
0.602086,0.596938,0.0785511,-0.00159529,-0.00012416,-0.126412,-0.523773
0.602271,0.597119,0.0785915,-0.00156075,0.000127609,-0.125134,-0.505255
0.602611,0.597455,0.0786545,-0.00146294,0.000470274,-0.123927,-0.488282
0.602863,0.597702,0.0787037,-0.00144854,0.000825505,-0.122512,-0.470616
0.603127,0.597961,0.0787575,-0.00141497,0.00115229,-0.121036,-0.454017
0.603387,0.598215,0.0788177,-0.00131828,0.00159757,-0.119006,-0.436002
0.603602,0.598426,0.0788687,-0.00124805,0.00197392,-0.117028,-0.417947
0.603875,0.598693,0.0789326,-0.0011838,0.00234776,-0.114748,-0.400833
0.604154,0.598966,0.0789975,-0.00110704,0.00276573,-0.112524,-0.384599
0.604341,0.599147,0.0790572,-0.00103048,0.00319274,-0.109428,-0.36536
0.604561,0.59936,0.0791249,-0.000972955,0.00358595,-0.106332,-0.347872
0.604818,0.599609,0.0792011,-0.000928328,0.00409291,-0.102704,-0.330784
0.605035,0.599819,0.0792745,-0.000773717,0.00445446,-0.0990425,-0.312602
0.605261,0.600036,0.0793601,-0.00070804,0.00504757,-0.0944927,-0.295158
0.605428,0.600194,0.0794405,-0.000669073,0.00535803,-0.0894167,-0.276948
0.605532,0.600287,0.0795233,-0.000574746,0.00577839,-0.0835142,-0.258069
0.60573,0.600475,0.0796205,-0.000521869,0.00621422,-0.0776427,-0.240183
0.605779,0.600511,0.0797129,-0.000429696,0.00658224,-0.0704866,-0.220503
0.605913,0.600633,0.0798146,-0.00037256,0.0068162,-0.0633515,-0.203084
0.605893,0.600601,0.0799039,-0.000280412,0.00690149,-0.0556564,-0.183229
0.605976,0.60067,0.0800163,-0.000231242,0.00691314,-0.0470257,-0.164635
0.605906,0.600587,0.0801037,-0.000108441,0.00683999,-0.0391155,-0.145617
0.605881,0.600551,0.0801903,-6.65601e-05,0.00644021,-0.0314681,-0.126888
0.605767,0.600425,0.0802709,1.61012e-05,0.00592185,-0.0235294,-0.10727
0.605621,0.60027,0.0803265,4.44015e-05,0.00522595,-0.0172843,-0.0888425
0.605374,0.600015,0.0803717,0.000134979,0.00427669,-0.010723,-0.0700356
0.605245,0.599879,0.0804168,0.000243036,0.00334447,-0.00537638,-0.0521348
0.605341,0.59997,0.0804541,0.000328492,0.00224919,-0.00339495,-0.0341438
0.605212,0.59984,0.0804558,0.000425924,0.00117217,-0.00189862,-0.0169685
0.604962,0.59959,0.0804385,0.000499242,-4.13365e-05,-0.000478182,3.494e-05
0.605178,0.599805,0.0804658,0.000572406,-0.00120619,-0.000627851,0.0169856
0.60532,0.599948,0.0804616,0.000668563,-0.00227269,-0.00244396,0.0341432
0.605255,0.599888,0.0804197,0.0007541,-0.00330144,-0.00525349,0.052093
0.605396,0.600035,0.0803815,0.000863136,-0.00441157,-0.0100499,0.0702445
0.605623,0.600271,0.0803319,0.000962277,-0.0051557,-0.0167484,0.0884357
0.60584,0.600497,0.0802728,0.000980284,-0.00580497,-0.0241257,0.107415
0.605953,0.600622,0.0801905,0.00106806,-0.00630685,-0.0322965,0.127295
0.605943,0.600623,0.080111,0.00110386,-0.00674884,-0.0387183,0.145705
0.606041,0.600735,0.0800155,0.00122635,-0.00687515,-0.0478962,0.165466
0.605962,0.600669,0.079908,0.00126224,-0.00675592,-0.0559158,0.184103
0.605925,0.600644,0.0798111,0.00136414,-0.00676534,-0.0637445,0.204323
0.605832,0.600562,0.0797217,0.00141775,-0.00657225,-0.0701623,0.221648
0.605779,0.600524,0.0796065,0.00150342,-0.00587556,-0.0792068,0.241356
0.605593,0.600349,0.0795144,0.00156856,-0.00551978,-0.084846,0.259496
0.605534,0.600298,0.0794384,0.0016239,-0.00512472,-0.0906349,0.278885
0.605317,0.600089,0.079365,0.00173365,-0.00498109,-0.0943654,0.296768
0.605087,0.59987,0.0792653,0.00176385,-0.00415927,-0.100088,0.314082
0.60486,0.599649,0.0791978,0.00191505,-0.0039299,-0.103378,0.332085
0.604624,0.599421,0.0791301,0.00196462,-0.00361445,-0.106332,0.349265
0.604389,0.599193,0.0790597,0.00202233,-0.00311803,-0.109637,0.366835
0.60421,0.59902,0.0789969,0.00209635,-0.00259361,-0.11292,0.385841
0.603942,0.598758,0.0789277,0.00218891,-0.00203305,-0.115744,0.402975
0.603643,0.598466,0.0788615,0.00223061,-0.00166558,-0.117792,0.419609
0.603454,0.59828,0.0788187,0.00227975,-0.00146176,-0.119286,0.437859
0.603164,0.597996,0.0787511,0.00237914,-0.000824128,-0.121571,0.454902
0.602909,0.597746,0.0786985,0.00245219,-0.000508514,-0.123202,0.472798
0.602583,0.597423,0.0786458,0.00247143,-0.000437673,-0.124031,0.489557
0.602281,0.597127,0.0785871,0.00254771,-1.1955e-05,-0.125485,0.506947
0.602082,0.596931,0.078546,0.00260435,0.000320503,-0.126703,0.525078
0.601803,0.596656,0.0784951,0.00267816,0.000636903,-0.127761,0.542176
